Risk Estimate
0.001
0.002
0.003
0.004
0.005
0.006
0.007
0.008
0.009
0.01
0.011
0.012
0.013
0.014
0.015
0.016
0.017
0.018
0.019
0.02
0.021
0.022
0.023
0.024
0.025
0.026
0.027
0.028
0.029
0.03
0.031
0.032
0.033
0.034
0.035
0.036
0.037
0.039
0.04
0.041
0.042
0.043
0.044
0.045
0.046
0.047
0.048
0.049
0.05
0.051
0.053
0.054
0.055
0.056
0.057
0.058
0.059
0.06
0.061
0.062
0.063
0.065
0.066
0.067
0.069
0.07
0.071
0.073
0.074
0.075
0.077
0.078
0.079
0.081
0.082
0.083
0.084
0.085
0.087
0.088
0.089
0.09
0.091
0.092
0.093
0.094
0.095
0.096
0.098
0.099
0.1
0.101
0.102
0.103
0.104
0.106
0.107
0.108
0.11
0.111
0.113
0.114
0.115
0.116
0.117
0.118
0.119
0.121
0.122
0.124
0.125
0.126
0.128
0.129
0.13
0.134
0.136
0.137
0.138
0.141
0.143
0.145
0.146
0.147
0.148
0.15
0.151
0.152
0.153
0.156
0.159
0.162
0.168
0.169
0.17
0.174
0.177
0.178
0.179
0.181
0.183
0.185
0.186
0.187
0.189
0.192
0.194
0.196
0.201
0.202
0.204
0.206
0.207
0.208
0.21
0.212
0.213
0.216
0.217
0.218
0.223
0.224
0.226
0.227
0.228
0.231
0.236
0.242
0.244
0.245
0.252
0.255
0.258
0.259
0.26
0.262
0.264
0.272
0.273
0.278
0.283
0.284
0.288
0.289
0.291
0.292
0.294
0.295
0.3
0.303
0.306
0.309
0.311
0.312
0.314
0.315
0.316
0.317
0.318
0.319
0.321
0.324
0.325
0.326
0.329
0.331
0.334
0.336
0.337
0.338
0.343
0.345
0.347
0.349
0.351
0.354
0.361
0.367
0.37
0.372
0.376
0.38
0.39
0.397
0.402
0.403
0.405
0.406
0.407
0.408
0.414
0.429
0.435
0.437
0.438
0.447
0.451
0.455
0.465
0.469
0.471
0.474
0.482
0.486
0.493
0.499
0.51
0.511
0.516
0.528
0.536
0.543
0.554
0.563
0.564
0.576
0.598
0.6
0.609
0.611
0.612
0.619
0.621
0.623
0.627
0.63
0.633
0.635
0.638
0.64
0.641
0.643
0.645
0.648
0.65
0.653
0.656
0.658
0.659
0.663
0.668
0.669
0.675
0.677
0.68
0.69
0.691
0.716
0.729
0.756
0.76
0.761
0.78
0.782
0.799
0.806
0.826
0.862
0.868
0.89
0.898
0.915
0.92
0.953
0.957
0.997
1.018
1.028
1.081
1.084
1.092
1.154
1.159
1.191
1.228
1.259
1.282
1.309
1.333
1.342
1.397
1.41
1.477
1.497
1.542
1.581
1.608
1.613
1.621
1.672
1.722
1.738
1.752
1.811
1.887
1.908
1.93
1.946
1.966
1.967
1.979
1.989
1.999
2.01
2.02
2.03
2.04
2.047
2.049
2.057
2.059
2.071
2.084
2.098
2.113
2.132
2.142
2.154
2.156
2.159
2.179
2.189
2.233
2.27
2.272
2.381
2.41
2.419
2.449
2.469
2.487
2.503
2.518
2.532
2.546
2.56
2.576
2.591
2.592
2.609
2.625
2.644
2.646
2.665
2.693
2.699
2.727
2.772
2.811
2.839
2.841
2.924
3.052
3.195
3.277
3.335
3.518
3.742
3.992
4.154
4.239
4.367
4.525
4.633
4.659
4.778
4.903
4.907
5.025
5.091
5.14
5.257
5.264
5.384
5.417
5.514
5.568
5.654
5.722
5.814
5.862
5.969
6.007
6.164
6.185
6.325
6.425
6.507
6.669
6.713
6.885
6.902
7.114
7.144
7.423
7.724
7.769
7.977
8.266
9.07
